1	0	5.3E-4	2.4090895E-4	7.709089550189674E-4	1	0	1	9	53	62	0	0	0	0.000
2	1	0.0014200001	0.0017540898	0.003174089826643467	9	59	68	14	53	67	0	6	0	0.000
3	2	0.0013600001	0.0040450017	0.005405001807957888	7	63	70	16	95	111	13	10	0	0.16071230769216527
4	2	0.00118	9.749998E-4	0.002154999878257513	6	0	6	14	84	98	0	0	0	0.000
5	3	0.0013	0.0021986356	0.003498635720461607	5	34	39	18	81	99	6	5	0	0.26089699999977256
6	3	6.1E-4	0.011358173	0.011968173086643219	2	138	140	9	70	79	11	127	0	5.948758727271907
7	4	6.599999E-4	0.0015909068	0.0022509065456688404	2	10	12	10	172	182	9	1	0	0.40403399999968315
8	4	6.899999E-4	0.0011863633	0.0018763631815090775	3	20	23	9	40	49	14	6	0	0.4080224285711113
9	5	3.1E-4	3.7499992E-4	6.849999190308154E-4	2	0	2	3	15	18	0	0	0	0.000

