1	0	5.3E-4	2.4090895E-4	7.709089550189674E-4	1	0	1	9	53	62	0	0	0	0.000
2	1	0.0014700001	0.0017540897	0.003224089741706848	9	59	68	15	53	68	0	6	0	0.000
3	2	0.0014100001	0.0016509079	0.003060908056795597	7	14	21	17	86	103	13	1	0	0.04474107692294638
4	2	0.0013100001	0.0033790928	0.004689092747867107	7	53	60	15	97	112	0	13	0	0.000
5	3	0.0014800001	0.0029318193	0.004411819390952587	6	45	51	20	96	116	6	5	0	0.344653999999764
6	5	6.599999E-4	2.527272E-4	9.127270895987749E-4	2	11	13	10	38	48	11	0	0	0.4735663636359649
7	4	7.8999996E-4	0.0016959078	0.0024859076365828514	3	27	30	11	68	79	9	7	0	0.5157099999996717
8	4	7.8999985E-4	0.0014872719	0.0022772718220949173	3	19	22	11	61	72	14	5	0	0.4798141428568101
9	5	3.1E-4	4.249999E-4	7.349998923018575E-4	2	0	2	3	17	20	0	0	0	0.000

