1	0	5.3E-4	2.4090895E-4	7.709089550189674E-4	1	0	1	9	53	62	0	0	0	0.000
2	1	0.0014700001	0.001746817	0.003216817043721676	9	58	67	15	53	68	0	5	0	0.000
3	2	0.0014100001	0.0017927259	0.0032027261331677437	7	18	25	17	83	100	13	5	0	0.27668353846138416
4	2	0.0013100001	0.003400911	0.0047109113074839115	7	54	61	15	93	108	0	14	0	0.000
5	3	0.0014800001	0.0030563653	0.004536365158855915	6	48	54	20	97	117	6	8	0	0.17713999999978114
6	5	6.599999E-4	2.8454541E-4	9.445453179068863E-4	2	11	13	10	45	55	11	0	0	0.88473709090865
7	4	7.8999985E-4	0.0020059077	0.0027959076687693596	3	31	34	11	74	85	9	11	0	0.571547999999666
8	4	7.8999985E-4	0.0019004531	0.0026904530823230743	3	27	30	11	68	79	14	13	0	0.6592934285710855
9	5	3.1E-4	4.9999985E-4	8.099998813122511E-4	2	0	2	3	20	23	0	0	0	0.000

